,street_name,full_address,sale_date,sale_price,price_num,sq_feet,price_sf,url,lat,long
12048,2092 SAMANTHA CIR,"2092 SAMANTHA CIR Cobb County, GA",2018-10-10,"$239,000.00",239000,2445,97.75051124744375,"https://www.google.com/maps/search/2092%20SAMANTHA%20CIR%20Cobb%20County,%20GA",33.9012056,-84.6036112
12049,625 AUNT LUCY LN SUITE/UNIT 61/34,"625 AUNT LUCY LN SUITE/UNIT 61/34 Cobb County, GA",2018-10-10,"$305,000.00",305000,1912,159.51882845188285,"https://www.google.com/maps/search/625%20AUNT%20LUCY%20LN%20SUITE/UNIT%2061/34%20Cobb%20County,%20GA",33.8582637,-84.5729918
12050,6252 CENTURY PARK PL,"6252 CENTURY PARK PL Cobb County, GA",2018-10-10,"$259,705.00",259705,1872,138.7313034188034,"https://www.google.com/maps/search/6252%20CENTURY%20PARK%20PL%20Cobb%20County,%20GA",33.7978002,-84.5160438
12051,4574 SANTEE TRL,"4574 SANTEE TRL Cobb County, GA",2018-10-10,"$375,000.00",375000,2383,157.36466638690726,"https://www.google.com/maps/search/4574%20SANTEE%20TRL%20Cobb%20County,%20GA",33.8414511,-84.5969437
12052,2009 OAKLEY TRCE,"2009 OAKLEY TRCE Cobb County, GA",2018-10-10,"$154,640.00",154640,1612,95.9305210918114,"https://www.google.com/maps/search/2009%20OAKLEY%20TRCE%20Cobb%20County,%20GA",33.8882196,-84.4808649
12053,4386 OGLETHORPE LOOP,"4386 OGLETHORPE LOOP Cobb County, GA",2018-10-10,"$1,500,000.00",1500000,6454,232.41400681747757,"https://www.google.com/maps/search/4386%20OGLETHORPE%20LOOP%20Cobb%20County,%20GA",34.0698753,-84.7315154
12054,1954 HITCHING POST LN,"1954 HITCHING POST LN Cobb County, GA",2018-10-10,"$305,000.00",305000,1962,155.45361875637104,"https://www.google.com/maps/search/1954%20HITCHING%20POST%20LN%20Cobb%20County,%20GA",33.996532,-84.4021437
12055,47 RHODES DR,"47 RHODES DR Cobb County, GA",2018-10-10,"$403,000.00",403000,2586,155.8391337973705,"https://www.google.com/maps/search/47%20RHODES%20DR%20Cobb%20County,%20GA",33.949049,-84.4757941
12056,3702 SAERS CT,"3702 SAERS CT Cobb County, GA",2018-10-10,"$319,000.00",319000,3137,101.68951227287216,"https://www.google.com/maps/search/3702%20SAERS%20CT%20Cobb%20County,%20GA",34.0418755,-84.5540977
12057,781 SUMMER DR,"781 SUMMER DR Cobb County, GA",2018-10-10,"$193,000.00",193000,1379,139.95649021029732,"https://www.google.com/maps/search/781%20SUMMER%20DR%20Cobb%20County,%20GA",34.0751745,-84.5768073
12058,3223 HOLLY MILL RUN,"3223 HOLLY MILL RUN Cobb County, GA",2018-10-10,"$292,000.00",292000,1687,173.08832246591584,"https://www.google.com/maps/search/3223%20HOLLY%20MILL%20RUN%20Cobb%20County,%20GA",34.0004099,-84.4512347
12059,427 RIDGETOP DR,"427 RIDGETOP DR Cobb County, GA",2018-10-10,"$191,000.00",191000,1312,145.57926829268294,"https://www.google.com/maps/search/427%20RIDGETOP%20DR%20Cobb%20County,%20GA",34.0671591,-84.5632875
12060,885 LEE DR NW,"885 LEE DR NW Cobb County, GA",2018-10-10,"$210,000.00",210000,1610,130.43478260869566,"https://www.google.com/maps/search/885%20LEE%20DR%20NW%20Cobb%20County,%20GA",error,error
12061,2735 FAVOR RD,"2735 FAVOR RD Cobb County, GA",2018-10-10,"$130,000.00",130000,1505,86.37873754152824,"https://www.google.com/maps/search/2735%20FAVOR%20RD%20Cobb%20County,%20GA",33.8867042,-84.5691885
12062,1910 CEDAR GLENN WAY BLDG/UNIT 4000/4202,"1910 CEDAR GLENN WAY BLDG/UNIT 4000/4202 Cobb County, GA",2018-10-10,"$230,000.00",230000,1332,172.67267267267266,"https://www.google.com/maps/search/1910%20CEDAR%20GLENN%20WAY%20BLDG/UNIT%204000/4202%20Cobb%20County,%20GA",33.9069578,-84.4623043
12063,2200 GORDON CIR SE,"2200 GORDON CIR SE Cobb County, GA",2018-10-10,"$125,300.00",125300,1371,91.3931436907367,"https://www.google.com/maps/search/2200%20GORDON%20CIR%20SE%20Cobb%20County,%20GA",33.8878552,-84.4954979
12064,1311 BUSTLING LN,"1311 BUSTLING LN Cobb County, GA",2018-10-10,"$207,000.00",207000,2046,101.17302052785924,"https://www.google.com/maps/search/1311%20BUSTLING%20LN%20Cobb%20County,%20GA",33.9170411,-84.626962
12065,4205 BRASS TRL SW,"4205 BRASS TRL SW Cobb County, GA",2018-10-10,"$164,000.00",164000,1474,111.2618724559023,"https://www.google.com/maps/search/4205%20BRASS%20TRL%20SW%20Cobb%20County,%20GA",33.8548431,-84.6448674
12066,7110 HILLCREST CHASE DR,"7110 HILLCREST CHASE DR Cobb County, GA",2018-10-10,"$144,000.00",144000,1456,98.9010989010989,"https://www.google.com/maps/search/7110%20HILLCREST%20CHASE%20DR%20Cobb%20County,%20GA",33.780877,-84.5526648
12067,117 JEFFREY PL,"117 JEFFREY PL Cobb County, GA",2018-10-10,"$472,000.00",472000,3049,154.80485405050837,"https://www.google.com/maps/search/117%20JEFFREY%20PL%20Cobb%20County,%20GA",33.8582141,-84.5514981
12068,4946 GLENCREE CT,"4946 GLENCREE CT Cobb County, GA",2018-10-10,"$545,880.00",545880,3251,167.91141187326977,"https://www.google.com/maps/search/4946%20GLENCREE%20CT%20Cobb%20County,%20GA",33.9357595,-84.6955896
12069,812 COUNTRYSIDE CT,"812 COUNTRYSIDE CT Cobb County, GA",2018-10-10,"$325,000.00",325000,2308,140.81455805892548,"https://www.google.com/maps/search/812%20COUNTRYSIDE%20CT%20Cobb%20County,%20GA",33.9283953,-84.4642519
12070,3335 EMORY DR,"3335 EMORY DR Cobb County, GA",2018-10-10,"$273,000.00",273000,1624,168.10344827586206,"https://www.google.com/maps/search/3335%20EMORY%20DR%20Cobb%20County,%20GA",34.0319008,-84.4453885
12071,2227 SURREY CT,"2227 SURREY CT Cobb County, GA",2018-10-10,"$149,000.00",149000,1292,115.3250773993808,"https://www.google.com/maps/search/2227%20SURREY%20CT%20Cobb%20County,%20GA",33.9300979,-84.4811695
12072,4853 COLCHESTER CT UNIT/BLDG 20/4,"4853 COLCHESTER CT UNIT/BLDG 20/4 Cobb County, GA",2018-10-10,"$340,500.00",340500,1824,186.67763157894737,"https://www.google.com/maps/search/4853%20COLCHESTER%20CT%20UNIT/BLDG%2020/4%20Cobb%20County,%20GA",error,error
12073,4100 PACES WALK SE UNIT 4103,"4100 PACES WALK SE UNIT 4103 Cobb County, GA",2018-10-10,"$279,900.00",279900,1593,175.70621468926555,"https://www.google.com/maps/search/4100%20PACES%20WALK%20SE%20UNIT%204103%20Cobb%20County,%20GA",33.8562333,-84.4793049
12074,4853 SHAE CT BLDG 8,"4853 SHAE CT BLDG 8 Cobb County, GA",2018-10-10,"$178,000.00",178000,1682,105.82639714625446,"https://www.google.com/maps/search/4853%20SHAE%20CT%20BLDG%208%20Cobb%20County,%20GA",33.8447546,-84.6936495
12075,627 TABBYSTONE ST,"627 TABBYSTONE ST Cobb County, GA",2018-10-10,"$650,000.00",650000,3842,169.1827173347215,"https://www.google.com/maps/search/627%20TABBYSTONE%20ST%20Cobb%20County,%20GA",33.9698019,-84.6167395
12076,3454 FENTON DR SE,"3454 FENTON DR SE Cobb County, GA",2018-10-10,"$424,900.00",424900,2113,201.0884997633696,"https://www.google.com/maps/search/3454%20FENTON%20DR%20SE%20Cobb%20County,%20GA",33.8678722,-84.4933963
12077,5412 JAMESTOWNE DR,"5412 JAMESTOWNE DR Cobb County, GA",2018-10-10,"$127,000.00",127000,1488,85.34946236559139,"https://www.google.com/maps/search/5412%20JAMESTOWNE%20DR%20Cobb%20County,%20GA",33.8220329,-84.6846237
12078,956 TYRELL DR,"956 TYRELL DR Cobb County, GA",2018-10-10,"$178,000.00",178000,1786,99.66405375139978,"https://www.google.com/maps/search/956%20TYRELL%20DR%20Cobb%20County,%20GA",33.8521341,-84.5832585
12079,6767 IVY LOG DR,"6767 IVY LOG DR Cobb County, GA",2018-10-10,"$159,950.00",159950,1826,87.59583789704271,"https://www.google.com/maps/search/6767%20IVY%20LOG%20DR%20Cobb%20County,%20GA",33.7870246,-84.5980686
12080,2524 OAKWOOD WAY,"2524 OAKWOOD WAY Cobb County, GA",2018-10-10,"$267,000.00",267000,2212,120.70524412296564,"https://www.google.com/maps/search/2524%20OAKWOOD%20WAY%20Cobb%20County,%20GA",33.877761,-84.4950601
12081,3671 TANGLEWOOD DR,"3671 TANGLEWOOD DR Cobb County, GA",2018-10-10,"$612,500.00",612500,2036,300.83497053045187,"https://www.google.com/maps/search/3671%20TANGLEWOOD%20DR%20Cobb%20County,%20GA",33.8619359,-84.4665889
12082,154 VINTAGE CLUB CIR UNIT 29,"154 VINTAGE CLUB CIR UNIT 29 Cobb County, GA",2018-10-10,"$259,000.00",259000,1661,155.93016255267912,"https://www.google.com/maps/search/154%20VINTAGE%20CLUB%20CIR%20UNIT%2029%20Cobb%20County,%20GA",34.0177907,-84.5497937
12083,305 TIMBER CREEK LN,"305 TIMBER CREEK LN Cobb County, GA",2018-10-10,"$111,000.00",111000,1408,78.83522727272727,"https://www.google.com/maps/search/305%20TIMBER%20CREEK%20LN%20Cobb%20County,%20GA",33.8872906,-84.5560805
12084,3237 GREENFIELD DR,"3237 GREENFIELD DR Cobb County, GA",2018-10-10,"$600,000.00",600000,3713,161.59439806086723,"https://www.google.com/maps/search/3237%20GREENFIELD%20DR%20Cobb%20County,%20GA",33.9642185,-84.4579169
12085,1585 HALISPORT LAKE DR,"1585 HALISPORT LAKE DR Cobb County, GA",2018-10-10,"$423,500.00",423500,3201,132.3024054982818,"https://www.google.com/maps/search/1585%20HALISPORT%20LAKE%20DR%20Cobb%20County,%20GA",33.9921316,-84.6674865
12086,4180 VALLEY WOOD DR,"4180 VALLEY WOOD DR Cobb County, GA",2018-10-10,"$175,000.00",175000,1400,125.0,"https://www.google.com/maps/search/4180%20VALLEY%20WOOD%20DR%20Cobb%20County,%20GA",33.9759136,-84.6734718
12087,182 WILHELMINA DR,"182 WILHELMINA DR Cobb County, GA",2018-10-10,"$132,000.00",132000,1820,72.52747252747253,"https://www.google.com/maps/search/182%20WILHELMINA%20DR%20Cobb%20County,%20GA",33.7806557,-84.5604836
12088,2135 APPLE ORCHARD WAY,"2135 APPLE ORCHARD WAY Cobb County, GA",2018-10-10,"$255,990.00",255990,2530,101.1818181818182,"https://www.google.com/maps/search/2135%20APPLE%20ORCHARD%20WAY%20Cobb%20County,%20GA",33.8091237,-84.6175165
12089,2261 BELLE VISTA CT,"2261 BELLE VISTA CT Cobb County, GA",2018-10-10,"$344,000.00",344000,2299,149.6302740321879,"https://www.google.com/maps/search/2261%20BELLE%20VISTA%20CT%20Cobb%20County,%20GA",33.9857006,-84.4843799
12090,650 GREGORY MANOR DR,"650 GREGORY MANOR DR Cobb County, GA",2018-10-10,"$201,040.00",201040,1256,160.06369426751593,"https://www.google.com/maps/search/650%20GREGORY%20MANOR%20DR%20Cobb%20County,%20GA",33.8495176,-84.5726804
12091,3254 ENCORE CIR,"3254 ENCORE CIR Cobb County, GA",2018-10-11,"$432,000.00",432000,2061,209.6069868995633,"https://www.google.com/maps/search/3254%20ENCORE%20CIR%20Cobb%20County,%20GA",33.9990126,-84.6484642
