,street_name,full_address,sale_date,sale_price,price_num,sq_feet,price_sf
15350,4146 GLENLAKE TER,"4146 GLENLAKE TER Cobb County, GA",2018-01-10,"$235,000.00",235000,2062,113.96702230843842
15349,4599 CEDAR KNOLL DR,"4599 CEDAR KNOLL DR Cobb County, GA",2018-01-10,"$245,000.00",245000,1596,153.50877192982455
13879,2958 CHIPMUNK TRL,"2958 CHIPMUNK TRL Cobb County, GA",2018-01-10,"$167,000.00",167000,1516,110.15831134564644
15340,1809 HANNAH PL,"1809 HANNAH PL Cobb County, GA",2018-01-10,"$186,000.00",186000,1520,122.36842105263158
15338,828 OLD CANTON RD,"828 OLD CANTON RD Cobb County, GA",2018-01-10,"$740,000.00",740000,4771,155.10375183399705
15348,358 TIMBER WAY,"358 TIMBER WAY Cobb County, GA",2018-01-10,"$226,800.00",226800,1912,118.61924686192468
15347,457 MORNINGSIDE DR NE,"457 MORNINGSIDE DR NE Cobb County, GA",2018-01-10,"$100,000.00",100000,1588,62.97229219143577
15341,2995 WENDY LN,"2995 WENDY LN Cobb County, GA",2018-01-10,"$275,000.00",275000,1696,162.14622641509433
14157,1409 COUNTRYSIDE PL,"1409 COUNTRYSIDE PL Cobb County, GA",2018-01-10,"$146,000.00",146000,1097,133.09024612579762
15346,3288 CRAWFORD CIR,"3288 CRAWFORD CIR Cobb County, GA",2018-01-10,"$250,000.00",250000,3005,83.19467554076539
15345,3658 TEN OAKS CIR,"3658 TEN OAKS CIR Cobb County, GA",2018-01-10,"$83,000.00",83000,1114,74.50628366247756
15344,838 BONNIE GLEN DR,"838 BONNIE GLEN DR Cobb County, GA",2018-01-10,"$155,000.00",155000,1464,105.8743169398907
13843,4204 MASTIC PTE BLDG 24,"4204 MASTIC PTE BLDG 24 Cobb County, GA",2018-01-10,"$175,100.00",175100,1704,102.75821596244131
14154,1473 SETTLERS WALK WAY BLDG 5,"1473 SETTLERS WALK WAY BLDG 5 Cobb County, GA",2018-01-10,"$162,000.00",162000,1163,139.29492691315562
15357,602 SERRAMONTE DR,"602 SERRAMONTE DR Cobb County, GA",2018-01-10,"$205,000.00",205000,1757,116.67615253272623
15342,3008 MISTYMORN TRCE,"3008 MISTYMORN TRCE Cobb County, GA",2018-01-10,"$162,000.00",162000,1250,129.6
15343,4214 HIGHCROFT MAIN,"4214 HIGHCROFT MAIN Cobb County, GA",2018-01-10,"$239,000.00",239000,2274,105.10114335971856
14019,704 BRIDLE PATH,"704 BRIDLE PATH Cobb County, GA",2018-01-10,"$307,500.00",307500,1900,161.8421052631579
13951,2142 TOURNEY DR,"2142 TOURNEY DR Cobb County, GA",2018-01-10,"$230,000.00",230000,1594,144.29109159347553
14083,2220 DERBYSHIRE DR,"2220 DERBYSHIRE DR Cobb County, GA",2018-01-10,"$457,000.00",457000,3624,126.1037527593819
15337,1137 DURRELL ST,"1137 DURRELL ST Cobb County, GA",2018-01-10,"$155,000.00",155000,1582,97.97724399494311
15319,1319 GOLDEN ROCK LN SE UNIT 2,"1319 GOLDEN ROCK LN SE UNIT 2 Cobb County, GA",2018-01-11,"$374,965.00",374965,2546,147.27611940298507
15320,2119 IMPERIAL POND SW,"2119 IMPERIAL POND SW Cobb County, GA",2018-01-11,"$273,000.00",273000,1658,164.6562123039807
15321,637 AYRES RD,"637 AYRES RD Cobb County, GA",2018-01-11,"$148,000.00",148000,1356,109.14454277286136
15322,1377 VALMONT TRCE,"1377 VALMONT TRCE Cobb County, GA",2018-01-11,"$345,000.00",345000,2835,121.6931216931217
14158,400 ELLIS MEADOW CT,"400 ELLIS MEADOW CT Cobb County, GA",2018-01-11,"$100,000.00",100000,3726,26.838432635534083
15323,1262 CALLINGTON PT,"1262 CALLINGTON PT Cobb County, GA",2018-01-11,"$325,000.00",325000,2451,132.59893920848634
15324,2711 MATHEWS ST,"2711 MATHEWS ST Cobb County, GA",2018-01-11,"$489,830.00",489830,2275,215.30989010989012
15325,2017 KENWOOD PL,"2017 KENWOOD PL Cobb County, GA",2018-01-11,"$165,000.00",165000,1038,158.95953757225433
15327,1315 GOLDEN ROCK LN SE UNIT 2,"1315 GOLDEN ROCK LN SE UNIT 2 Cobb County, GA",2018-01-11,"$367,990.00",367990,2706,135.99039172209905
15328,328 SHANNONDALE DR,"328 SHANNONDALE DR Cobb County, GA",2018-01-11,"$501,712.00",501712,2287,219.37560122431134
15329,1119 HAVEL DR,"1119 HAVEL DR Cobb County, GA",2018-01-11,"$150,000.00",150000,1848,81.16883116883118
15330,671 HONEY BEAR LN,"671 HONEY BEAR LN Cobb County, GA",2018-01-11,"$252,700.00",252700,1508,167.57294429708222
15331,329 PIN OAK CT,"329 PIN OAK CT Cobb County, GA",2018-01-11,"$90,000.00",90000,1152,78.125
15332,1709 CUMBERLAND CT,"1709 CUMBERLAND CT Cobb County, GA",2018-01-11,"$108,500.00",108500,752,144.28191489361703
15333,5909 OAKDALE RD,"5909 OAKDALE RD Cobb County, GA",2018-01-11,"$50,500.00",50500,576,87.67361111111111
15334,3338 HOBBIT GLN,"3338 HOBBIT GLN Cobb County, GA",2018-01-11,"$237,900.00",237900,1896,125.4746835443038
15335,2814 STILLWATER PARK DR,"2814 STILLWATER PARK DR Cobb County, GA",2018-01-11,"$300,000.00",300000,3169,94.66708740927737
15326,6045 GLADIOLA WAY,"6045 GLADIOLA WAY Cobb County, GA",2018-01-11,"$254,900.00",254900,2556,99.72613458528951
15336,242 SILVER ARROW CIR,"242 SILVER ARROW CIR Cobb County, GA",2018-01-11,"$160,000.00",160000,2128,75.18796992481202
14181,1974 HIDDEN VALLEY DR,"1974 HIDDEN VALLEY DR Cobb County, GA",2018-01-11,"$119,000.00",119000,1448,82.18232044198895
14011,2345 DARLINGTON WAY,"2345 DARLINGTON WAY Cobb County, GA",2018-01-11,"$439,853.00",439853,3841,114.51523040874773
14078,305 S WOODLAND DR,"305 S WOODLAND DR Cobb County, GA",2018-01-11,"$575,000.00",575000,2674,215.0336574420344
14012,104 SE MILL POND CT SE,"104 SE MILL POND CT SE Cobb County, GA",2018-01-11,"$92,000.00",92000,1005,91.54228855721394
13910,5150 LAUREL BRIDGE CT,"5150 LAUREL BRIDGE CT Cobb County, GA",2018-01-11,"$141,000.00",141000,1244,113.34405144694534
13811,5096 CRIDER CREEK DR,"5096 CRIDER CREEK DR Cobb County, GA",2018-01-11,"$232,900.00",232900,2368,98.35304054054055
13813,533 ROBIN LN SE,"533 ROBIN LN SE Cobb County, GA",2018-01-11,"$250,000.00",250000,1867,133.9046598821639
13817,3814 APPLE WAY,"3814 APPLE WAY Cobb County, GA",2018-01-11,"$255,000.00",255000,1732,147.22863741339492
14097,2559 BATES ST,"2559 BATES ST Cobb County, GA",2018-01-11,"$152,500.00",152500,1160,131.4655172413793
15299,760 WEXFORD COVE WAY,"760 WEXFORD COVE WAY Cobb County, GA",2018-01-12,"$315,650.00",315650,2084,151.46353166986563
15289,3436 OWENS LANDING DR,"3436 OWENS LANDING DR Cobb County, GA",2018-01-12,"$300,000.00",300000,3023,99.23916639100231
15290,715 ROBERT WAY,"715 ROBERT WAY Cobb County, GA",2018-01-12,"$326,000.00",326000,3599,90.58071686579605
15295,3837 HOWARD DR NW,"3837 HOWARD DR NW Cobb County, GA",2018-01-12,"$191,500.00",191500,1468,130.44959128065395
15294,2129 LANDSMERE DR UNIT 3,"2129 LANDSMERE DR UNIT 3 Cobb County, GA",2018-01-12,"$254,900.00",254900,1824,139.74780701754386
15307,5355 VININGS LAKE VW,"5355 VININGS LAKE VW Cobb County, GA",2018-01-12,"$325,500.00",325500,2706,120.28824833702882
15291,4657 TOWNSHIP CT,"4657 TOWNSHIP CT Cobb County, GA",2018-01-12,"$300,000.00",300000,2456,122.14983713355049
